unique_squirrel_id,shift,date,age,primary_fur_color,highlight_color,location,Above Ground Sighter Measurement,specific_location,running,chasing,climbing,eating,foraging,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
37F-PM-1014-03,PM,10142018,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21B-AM-1019-04,AM,10192018,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11B-PM-1014-08,PM,10142018,,Gray,,Above Ground,10,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32E-PM-1017-14,PM,10172018,Adult,Gray,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
13E-AM-1017-05,AM,10172018,Adult,Gray,Cinnamon,Above Ground,,on tree stump,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11H-AM-1010-03,AM,10102018,Adult,Cinnamon,White,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
36H-AM-1010-02,AM,10102018,Adult,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33F-AM-1008-02,AM,10082018,Adult,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
21C-PM-1006-01,PM,10062018,Adult,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
11D-AM-1010-03,AM,10102018,Adult,Gray,Cinnamon,Above Ground,30,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
20B-PM-1013-05,PM,10132018,Adult,Gray,White,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
22F-PM-1014-06,PM,10142018,Adult,Gray,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
36I-PM-1007-01,PM,10072018,Adult,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5C-PM-1010-09,PM,10102018,Adult,Cinnamon,Gray,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7H-AM-1006-05,AM,10062018,Adult,Gray,Cinnamon,Above Ground,10,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
16C-PM-1018-03,PM,10182018,Adult,Gray,"Cinnamon, White",Above Ground,6,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
14E-AM-1008-23,AM,10082018,Adult,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
32A-PM-1013-03,PM,10132018,Juvenile,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
33F-AM-1008-01,AM,10082018,Adult,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
17F-AM-1007-07,AM,10072018,Adult,Gray,White,Above Ground,24,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
16I-AM-1008-01,AM,10082018,Adult,Cinnamon,"Gray, White",Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
12I-AM-1013-01,AM,10132018,Adult,Cinnamon,White,Ground Plane,FALSE,on tree roots,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
32F-PM-1008-07,PM,10082018,Adult,Gray,,Ground Plane,FALSE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
25A-AM-1013-04,AM,10132018,,Gray,White,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
15E-AM-1013-01,AM,10132018,Adult,Gray,White,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39G-PM-1013-06,PM,10132018,Adult,Gray,Cinnamon,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29I-PM-1007-01,PM,10072018,,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7E-AM-1006-02,AM,10062018,Adult,Gray,,Ground Plane,FALSE,under a tree,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17C-PM-1013-05,PM,10132018,Adult,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
10A-PM-1014-01,PM,10142018,Adult,Gray,"Black, Cinnamon, White",Ground Plane,FALSE,in b/w trees,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
28A-PM-1007-05,PM,10072018,Adult,Cinnamon,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
22F-PM-1014-05,PM,10142018,Adult,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12B-AM-1007-01,AM,10072018,Adult,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
18A-PM-1018-01,PM,10182018,Adult,Gray,,Above Ground,30,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33H-AM-1019-02,AM,10192018,Juvenile,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36H-PM-1008-02,PM,10082018,Adult,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
29C-AM-1007-06,AM,10072018,Adult,Gray,Cinnamon,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
38C-PM-1014-09,PM,10142018,Adult,Black,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
31H-PM-1008-02,PM,10082018,Juvenile,Gray,Cinnamon,Above Ground,8,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
8H-AM-1017-06,AM,10172018,Adult,Gray,Cinnamon,Above Ground,6,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
34F-AM-1007-01,AM,10072018,Adult,Gray,White,Above Ground,25,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
13H-PM-1010-02,PM,10102018,Adult,Gray,,Above Ground,5,tree,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
32E-AM-1007-13,AM,10072018,Adult,Gray,,Above Ground,50,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35C-AM-1007-05,AM,10072018,Adult,Gray,,Above Ground,4,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35C-PM-1013-03,PM,10132018,,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
17E-AM-1017-05,AM,10172018,Adult,Black,,Above Ground,10,Branch,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2B-PM-1013-01,PM,10132018,Adult,Gray,White,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19D-AM-1007-01,AM,10072018,Juvenile,Gray,,Ground Plane,FALSE,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40B-AM-1019-03,AM,10192018,Juvenile,Gray,White,Ground Plane,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
3E-PM-1008-07,PM,10082018,Adult,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
39C-PM-1006-01,PM,10062018,Adult,Gray,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
6G-AM-1008-02,AM,10082018,Juvenile,Gray,,Ground Plane,FALSE,bush,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
14F-AM-1007-05,AM,10072018,Juvenile,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
6I-PM-1013-06,PM,10132018,Adult,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
15F-PM-1010-05,PM,10102018,Adult,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
8B-PM-1012-02,PM,10122018,Adult,Gray,"Cinnamon, White",Ground Plane,FALSE,hiding in bushes,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3A-PM-1017-06,PM,10172018,Adult,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
36I-AM-1017-02,AM,10172018,Adult,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5E-AM-1008-06,AM,10082018,Adult,Cinnamon,White,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
32E-PM-1017-13,PM,10172018,Adult,Gray,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5F-PM-1007-03,PM,10072018,Adult,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
11B-PM-1014-05,PM,10142018,Adult,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
16E-PM-1018-06,PM,10182018,Adult,Cinnamon,Gray,Ground Plane,FALSE,On a rock,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
13F-AM-1007-02,AM,10072018,Adult,Cinnamon,White,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
20B-PM-1013-10,PM,10132018,Adult,Gray,White,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3A-PM-1017-05,PM,10172018,Adult,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29H-PM-1006-01,PM,10062018,Adult,Gray,,Above Ground,50,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
23C-PM-1014-03,PM,10142018,Adult,Gray,,Above Ground,8,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33C-PM-1007-03,PM,10072018,Adult,Gray,White,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
